                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1691,                0.72034,                 1.2149,                0.92787,                0.88525,                0.93574,                0.46472,                  2.302,                  1.019,                  2.345,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.1822,                0.69381,                 1.2288,                 0.9427,                0.83607,                0.93999,                0.49472,                 2.0423,                0.88037,                 2.0801,               0.000614,               0.000614,               0.000614
                     37,                 1.1767,                0.72072,                 1.2657,                0.96462,                0.89387,                0.96014,                0.49249,                 2.0289,                0.85571,                 2.0017,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1368,                0.69392,                 1.1981,                0.85605,                0.88525,                0.91363,                0.46797,                 1.9324,                0.87607,                 1.9315,              0.0005348,              0.0005348,              0.0005348
                     39,                  1.114,                0.65223,                 1.1626,                0.90773,                0.86885,                0.94701,                0.48825,                 1.9408,                0.95337,                 1.9349,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1672,                 0.6871,                 1.2521,                0.89756,                0.90164,                0.93475,                0.49626,                 1.9029,                0.88149,                 1.9094,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0588,                0.66417,                  1.279,                 0.9182,                0.92007,                0.97205,                0.52478,                 1.8044,                0.87749,                 1.8662,               0.000416,               0.000416,               0.000416
                     42,                 1.0844,                0.66557,                 1.2432,                0.92781,                0.95082,                0.96969,                0.53721,                 1.7808,                0.87814,                 1.8955,              0.0003764,              0.0003764,              0.0003764
                     43,                0.99507,                0.61534,                 1.2185,                0.93212,                0.95082,                0.96738,                0.51404,                 1.6792,                0.80609,                 1.8391,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0077,                0.60427,                 1.2074,                0.95066,                0.94764,                0.96491,                 0.5245,                  1.624,                0.87385,                 1.7822,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.9607,                0.58476,                 1.1523,                0.92852,                0.91803,                0.96126,                0.53372,                 1.5799,                0.91455,                 1.7221,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0091,                0.61215,                 1.1803,                0.90523,                0.93954,                0.95858,                0.51452,                 1.7672,                 1.1063,                 1.8183,               0.000218,               0.000218,               0.000218
                     47,                0.95092,                0.59028,                  1.174,                0.88973,                0.92597,                0.95891,                 0.5076,                 1.9029,                 1.1753,                  1.903,              0.0001784,              0.0001784,              0.0001784
                     48,                0.92596,                0.58222,                 1.1601,                0.93192,                0.95082,                0.96634,                 0.5394,                 1.7453,                 1.1038,                 1.7781,              0.0001388,              0.0001388,              0.0001388
                     49,                0.97784,                0.57822,                 1.1865,                0.93095,                0.95082,                0.97025,                0.53694,                 1.6912,                0.99071,                 1.7589,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.90933,                0.54957,                 1.1506,                0.93323,                0.95082,                0.96976,                0.53815,                 1.7314,                 1.0034,                 1.7906,               5.96e-05,               5.96e-05,               5.96e-05
